group	auc
lipid_fdr	0.823170731707317
lipid_fdr	0.784054302807179
lipid_fdr	0.8067188219052
lipid_fdr	0.805568338702255
lipid_fdr	0.825931891394386
lipid_fdr	0.828693051081454
lipid_fdr	0.790727105384261
lipid_fdr	0.853428439944777
lipid_fdr	0.770363552692131
lipid_fdr	0.77646111366774
lipid_fdr	0.755867464335021
lipid_fdr	0.773584905660377
lipid_fdr	0.808559595029913
lipid_fdr	0.757248044178555
lipid_fdr	0.790842153704556
lipid_fdr	0.813506672802577
lipid_fdr	0.848366313851818
lipid_fdr	0.727220432581684
lipid_fdr	0.807063966866084
lipid_fdr	0.718246663598711
lipid_fdr	0.846410492406811
lipid_fdr	0.738495167970548
lipid_fdr	0.725954901058445
lipid_fdr	0.755752416014726
lipid_fdr	0.825586746433502
lipid_fdr	0.848826507132996
lipid_fdr	0.795329038196042
lipid_fdr	0.727910722503451
lipid_fdr	0.761734928670041
lipid_fdr	0.831914404049701
lipid_fdr	0.748504371836171
lipid_fdr	0.788886332259549
lipid_fdr	0.802346985734008
trad_lipid_fdr	0.867788461538462
trad_lipid_fdr	0.821274038461538
trad_lipid_fdr	0.824759615384615
trad_lipid_fdr	0.770673076923077
trad_lipid_fdr	0.789423076923077
trad_lipid_fdr	0.834975961538462
trad_lipid_fdr	0.773677884615385
trad_lipid_fdr	0.775
trad_lipid_fdr	0.878125
trad_lipid_fdr	0.814302884615385
trad_lipid_fdr	0.804326923076923
trad_lipid_fdr	0.801923076923077
trad_lipid_fdr	0.828966346153846
trad_lipid_fdr	0.847115384615385
trad_lipid_fdr	0.825240384615385
trad_lipid_fdr	0.831370192307692
trad_lipid_fdr	0.793149038461539
trad_lipid_fdr	0.899278846153846
trad_lipid_fdr	0.855889423076923
trad_lipid_fdr	0.842548076923077
trad_lipid_fdr	0.807932692307692
trad_lipid_fdr	0.774399038461538
trad_lipid_fdr	0.818389423076923
trad_lipid_fdr	0.746274038461539
trad_lipid_fdr	0.822115384615385
trad_lipid_fdr	0.790625
trad_lipid_fdr	0.769110576923077
trad_lipid_fdr	0.817908653846154
trad_lipid_fdr	0.843389423076923
trad_lipid_fdr	0.811538461538462
trad_lipid_fdr	0.832451923076923
trad_lipid_fdr	0.810216346153846
trad_lipid_fdr	0.787740384615385
trad_lipid_fdr	0.8625
